#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      8.03e+00    1.05e+01      4.43e-01    2.94e-01      2.50e-01    3.30e-01    1.0e-03
    100      5.04e+00    4.84e+00      1.63e-01    2.19e-02      2.15e-01    2.53e-01    3.6e-04
    200      3.54e+00    2.94e+00      1.24e-01    4.40e-02      2.09e-01    2.43e-01    1.3e-04
    300      2.90e+00    1.50e+00      1.15e-01    1.26e-02      2.08e-01    2.12e-01    4.8e-05
    400      2.59e+00    8.37e-01      1.10e-01    3.14e-03      2.08e-01    1.95e-01    1.7e-05
    500      2.43e+00    5.87e-01      1.06e-01    1.39e-02      2.08e-01    1.87e-01    6.2e-06
    600      2.36e+00    4.29e-01      1.05e-01    1.23e-02      2.08e-01    1.85e-01    2.3e-06
    700      2.36e+00    3.84e-01      1.05e-01    1.32e-02      2.08e-01    1.87e-01    8.2e-07
    800      2.35e+00    2.22e-01      1.05e-01    1.45e-04      2.08e-01    1.95e-01    3.0e-07
    900      2.35e+00    8.34e-01      1.05e-01    3.56e-02      2.08e-01    2.44e-01    1.1e-07
   1000      2.35e+00    3.46e-01      1.05e-01    1.32e-02      2.08e-01    1.87e-01    3.9e-08
